iter,rsq,rank_all,rank_avg,rank_top3,rank_bot3,noise,N,d
1,0.9980460085870941,FALSE,0.7,FALSE,TRUE,1.1162578416988254,1156,20
2,0.9738352503484764,FALSE,0.8,FALSE,TRUE,0.5160557306371629,452,9
3,0.9925671973717661,FALSE,0.8,TRUE,TRUE,0.9679737796541303,1664,7
4,0.996170037290264,FALSE,0.8,FALSE,TRUE,0.8539617862552404,620,17
5,0.9989629705206232,FALSE,0.8,TRUE,FALSE,1.3895159484818578,1792,8
6,0.9832277517634319,TRUE,1,TRUE,TRUE,0.9030975054483861,382,3
7,0.9756537588003654,TRUE,1,TRUE,TRUE,0.6944847758859396,1810,12
8,0.997904608535846,FALSE,0.8,TRUE,TRUE,1.1772208649199456,1564,19
9,0.9914782712323493,FALSE,0.7,TRUE,FALSE,0.9892616847064346,1114,3
10,0.9974256839457719,FALSE,0.8,TRUE,FALSE,0.9517516742926091,1030,5
11,0.9905699566885572,FALSE,0.6,FALSE,FALSE,1.2612660981249064,1524,8
12,0.9961245991974604,FALSE,0.8,FALSE,TRUE,1.1894411817193031,522,6
13,0.9974667948329904,FALSE,0.8,TRUE,FALSE,1.405544965295121,1274,7
14,0.9904254228185717,TRUE,1,TRUE,TRUE,0.8022234581876546,841,17
15,0.9941019877632308,TRUE,1,TRUE,TRUE,1.2995601883158088,480,15
16,0.9857509524044719,FALSE,0.8,TRUE,TRUE,0.6872387307230383,883,15
17,0.9922052418510406,TRUE,1,TRUE,TRUE,0.7092382176779211,1189,6
18,0.9953221139943494,TRUE,1,TRUE,TRUE,1.0384048530831933,1935,8
19,0.9912283494173513,FALSE,0.6,TRUE,TRUE,1.2154690108727664,1862,14
20,0.9935260119486672,FALSE,0.8,FALSE,TRUE,1.3297014029230922,650,2
21,0.9831465019548632,FALSE,0.6,TRUE,FALSE,1.225437373155728,505,2
22,0.9948823603619009,FALSE,0.8,TRUE,FALSE,1.4266999498941004,1121,4
23,0.9947654644373314,FALSE,0.7,TRUE,TRUE,1.1195472090039402,790,2
24,0.9989800873001066,TRUE,1,TRUE,TRUE,1.3549464545212686,1753,16
25,0.9961203784034486,TRUE,1,TRUE,TRUE,1.0132342735305429,1101,8
26,0.994821449654095,FALSE,0.4,FALSE,FALSE,0.9917443431913853,1004,17
27,0.9872565436067998,FALSE,0.6,TRUE,FALSE,0.6865526996552944,1765,2
28,0.968073431114943,TRUE,1,TRUE,TRUE,0.5970610294025391,1902,14
29,0.9971419566674553,FALSE,0.8,TRUE,FALSE,1.3669829478021711,1695,10
30,0.9889707585424979,TRUE,1,TRUE,TRUE,0.6186563454102725,808,12
31,0.991040544736101,FALSE,0.7,FALSE,TRUE,1.4556761926505715,695,2
32,0.9984498762640989,FALSE,0.8,TRUE,TRUE,0.999004055513069,1366,11
33,0.9989247048566499,TRUE,1,TRUE,TRUE,1.3517621671780944,1903,20
34,0.9774605210066838,FALSE,0.4,TRUE,FALSE,1.3916501065250486,1771,1
35,0.9836395960090909,TRUE,1,TRUE,TRUE,0.5744936831761152,1492,7
36,0.9938473761856016,FALSE,0.8,TRUE,FALSE,1.3324421904981136,1774,4
37,0.9912239325443911,FALSE,0.8,FALSE,TRUE,1.1474363026209176,1086,4
38,0.9957283478874144,FALSE,0.8,FALSE,TRUE,1.0820150824729353,1667,11
39,0.9811564013505921,FALSE,0.8,FALSE,TRUE,0.9130171253345907,551,10
40,0.9981729324453932,FALSE,0.6,FALSE,FALSE,1.3985778451897204,1754,16
41,0.9964481560980895,FALSE,0.8,TRUE,TRUE,1.2197996934410185,1378,4
42,0.9888378280252201,FALSE,0.8,FALSE,TRUE,0.9119457490742207,1142,11
43,0.998881302737697,TRUE,1,TRUE,TRUE,1.4620850232895464,1834,16
44,0.9984925199054252,FALSE,0.8,TRUE,TRUE,0.8928401528391987,1621,14
45,0.9922662062081847,FALSE,0.6,FALSE,FALSE,0.6554187019355595,1574,12
46,0.9865956198643567,TRUE,1,TRUE,TRUE,0.8113953785505146,1174,4
47,0.9971237829990763,FALSE,0.8,TRUE,TRUE,1.1867788024246693,1818,17
48,0.9969259339797041,FALSE,0.8,TRUE,FALSE,1.3148171436041594,675,17
49,0.9975572910099235,TRUE,1,TRUE,TRUE,1.2730670443270355,1972,10
50,0.975176798234041,FALSE,0.8,TRUE,TRUE,0.5702021773904562,698,14
51,0.9964973509692542,TRUE,1,TRUE,TRUE,0.9254705854691565,1854,20
52,0.9807479829625884,FALSE,0.8,TRUE,TRUE,0.6760576018132269,868,6
53,0.9776396183003074,FALSE,0.8,TRUE,TRUE,1.245583571260795,322,1
54,0.992878519944263,TRUE,1,TRUE,TRUE,1.0560795983765274,1250,18
55,0.9723398275445757,FALSE,0.8,FALSE,TRUE,0.6570284904446453,333,7
56,0.9930106831963026,FALSE,0.6,FALSE,TRUE,1.2658950595650822,320,18
57,0.9974727651213763,FALSE,0.4,FALSE,FALSE,1.1672835662029684,1737,7
58,0.984415225916893,TRUE,1,TRUE,TRUE,0.706847156630829,1727,19
59,0.9970861888754592,TRUE,1,TRUE,TRUE,0.8560569167602807,567,4
60,0.9965282464965403,TRUE,1,TRUE,TRUE,0.6158280093222857,894,12
61,0.9945968558980902,TRUE,1,TRUE,TRUE,0.7319597618188709,738,20
62,0.992335892698587,FALSE,0.8,TRUE,FALSE,0.800642408663407,1936,9
