iter,rsq,rank,noise,N,b,items,is_bibd
88,0.9651402274657701,FALSE,1.0225133271887898,1068,12,16,FALSE
89,0.9298471724854926,FALSE,1.3360058111138642,1630,9,15,FALSE
90,0.9765916495133277,FALSE,1.298760806210339,585,18,17,FALSE
91,0.9824260476490227,FALSE,1.4448836871888489,647,18,17,FALSE
92,0.9790988492705175,FALSE,0.5002917782403529,307,19,12,FALSE
93,0.9921284027115699,TRUE,1.280977638438344,823,19,13,FALSE
94,0.9865448010160983,FALSE,0.8879020377062261,1678,14,11,FALSE
95,0.999351256925934,FALSE,1.3967803970444947,587,18,8,FALSE
96,0.98234077485026,FALSE,1.326081604231149,1506,16,15,FALSE
97,0.9426492276521026,FALSE,0.9150403253734112,689,15,20,FALSE
98,0.989386407390336,FALSE,1.2754490089137107,1967,18,13,FALSE
99,0.984241742447467,FALSE,0.879955927375704,1269,9,12,FALSE
100,0.9169253915298835,FALSE,0.8903300252277404,717,16,20,FALSE
101,0.9974563198967864,TRUE,1.0087361179757863,1988,13,12,FALSE
102,0.9935598863026445,FALSE,1.0685490113683045,1232,9,10,FALSE
103,0.9694273338765212,FALSE,0.5791151381563395,1995,15,16,FALSE
104,0.9858851309297912,FALSE,0.8907805590424687,1895,19,18,FALSE
105,0.9660193726170611,FALSE,1.3927087844349444,1070,8,13,FALSE
106,0.9719668325657534,TRUE,0.5163989155553281,546,17,8,FALSE
107,0.9918647043808879,FALSE,1.4066015321295708,518,19,14,FALSE
108,0.9321474829478885,FALSE,0.8949587531387806,619,13,20,FALSE
109,0.9750022319540443,FALSE,0.834769319742918,443,10,12,FALSE
110,0.9761524442296116,FALSE,0.5546836939174682,1526,8,10,FALSE
111,0.9877233818474083,FALSE,0.8796869460493326,1043,15,8,FALSE
112,0.9964442198378087,FALSE,1.1159244319424033,1168,20,11,FALSE
113,0.9586239477335159,FALSE,0.8173943373840302,498,10,14,FALSE
114,0.915063895809664,FALSE,1.3531983846332878,1217,10,20,FALSE
115,0.97910962054896,FALSE,1.4570409606676549,549,11,13,FALSE
116,0.9964954851139286,TRUE,0.9195492707658559,1457,15,8,FALSE
117,0.9946043046656085,TRUE,1.0873830458149314,913,15,10,TRUE
118,0.9918740744072809,FALSE,1.2224710313603282,677,18,15,FALSE
119,0.9576765373219023,FALSE,0.8339879829436541,1177,13,16,FALSE
120,0.9871355261446785,FALSE,1.1813708117697388,1526,10,10,FALSE
121,0.99289187912077,FALSE,1.0395808920729905,1145,14,12,FALSE
122,0.9729650578583061,FALSE,1.300354732433334,919,20,20,FALSE
123,0.9811489385589914,FALSE,0.705407734727487,1601,9,8,FALSE
124,0.9964731510593301,TRUE,1.0421749628148973,533,20,9,FALSE
125,0.9651715560362885,FALSE,0.7720367084257305,558,17,18,FALSE
126,0.9032752795900216,FALSE,1.2376207008492202,1821,8,15,FALSE
127,0.9691694735466055,FALSE,0.7715879215393215,1376,19,19,FALSE
128,0.9945257464626975,TRUE,0.5111973828170449,1997,14,8,TRUE
129,0.985145259945244,FALSE,1.342048030346632,358,11,11,FALSE
130,0.8810121550050599,FALSE,1.1782152738887817,805,8,16,FALSE
131,0.9559274523195257,FALSE,1.0536488450597972,1773,16,19,FALSE
132,0.9668581771895187,FALSE,0.7409313106909394,1376,8,11,FALSE
133,0.9851559077035404,FALSE,1.0250024944543839,990,17,14,FALSE
134,0.9907467654230454,FALSE,1.0886011475231498,598,11,11,FALSE
135,0.9966350864564745,TRUE,1.2228549476712942,791,12,8,FALSE
136,0.9984759939758288,FALSE,1.1585890392307192,453,13,13,TRUE
137,0.9694441398635287,FALSE,0.8107713400386274,1024,20,14,FALSE
138,0.950757680456171,FALSE,1.120351955993101,481,14,18,FALSE
139,0.9370042156430897,FALSE,0.8449853044003248,393,10,16,FALSE
140,0.9929908980530369,FALSE,0.6934353292454034,1887,15,8,FALSE
141,0.9738431626622985,TRUE,0.5776125763077289,523,18,10,FALSE
