iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
26,0.9883774533563022,FALSE,0.8898748406209052,1220,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
27,0.943900907429215,FALSE,1.2694457117468119,1728,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
28,0.9530514281295933,FALSE,0.6814939803443849,1795,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
29,0.9671639778821429,FALSE,0.702971147140488,1939,12,5,0.9871794871794872,0.2761449077238551,0.2564102564102564,FALSE
30,0.9900399257863558,FALSE,1.2385806965176016,628,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
31,0.9638467165034278,FALSE,0.7783304748591036,840,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
32,0.9928340767262864,TRUE,0.9923357537481934,707,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
33,0.9603990574040855,FALSE,1.3619105094112456,1490,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
34,0.9817955943475049,FALSE,1.2508746981620789,1439,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
35,0.9542213659490313,FALSE,0.8568130931816995,1049,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
36,0.9838033022865003,FALSE,0.6831700280308723,1318,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
37,0.9909247702024643,FALSE,1.4432342746295035,1504,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
38,0.893330266081105,FALSE,0.751790369162336,1131,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
39,0.9849009834342927,FALSE,0.7050822952296585,1022,15,4,1,0.13186813186813187,0.2564102564102564,FALSE
40,0.993763039532284,FALSE,1.0240807163063437,1068,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
41,0.9963906624962936,TRUE,0.9293117490597069,1324,15,5,1,0.17582417582417584,0.19230769230769232,FALSE
42,0.9768748432194159,FALSE,0.6603209935128689,1577,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
43,0.9829339411082285,FALSE,0.9474527903366834,1042,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
